seconds,roof,tank,inlet,solar,backup
9,8,46,17,0,1
19,8,46,17,0,1
29,8,46,17,0,1
39,8,46,17,0,1
49,8,46,17,0,1
59,8,46,17,0,1
69,8,46,17,0,1
79,8,46,17,0,1
89,8,46,17,0,1
99,8,46,17,0,1
109,8,46,17,0,1
119,8,46,17,0,1
129,8,46,17,0,1
139,8,46,17,0,1
149,8,46,17,0,1
159,8,46,17,0,1
169,8,46,17,0,1
179,8,46,17,0,1
189,8,46,17,0,1
199,8,46,17,0,1
209,8,46,17,0,1
219,8,46,17,0,1
229,8,46,17,0,1
239,8,46,17,0,1
249,8,46,17,0,1
259,8,46,17,0,1
269,8,46,17,0,1
279,8,46,17,0,1
289,8,46,17,0,1
299,8,46,17,0,1
309,8,46,17,0,1
319,8,46,17,0,1
329,8,46,17,0,1
339,8,46,17,0,1
349,8,46,17,0,1
359,8,46,17,0,1
369,8,46,17,0,1
379,8,46,17,0,1
389,8,46,17,0,1
399,8,46,17,0,1
409,8,46,17,0,1
419,8,46,17,0,1
429,8,46,17,0,1
439,8,46,17,0,1
449,8,46,17,0,1
459,8,46,17,0,1
469,8,46,17,0,1
479,8,46,17,0,1
489,8,46,17,0,1
499,8,46,17,0,1
509,8,46,17,0,1
519,8,46,17,0,1
529,8,46,17,0,1
539,8,46,17,0,1
549,8,46,17,0,1
559,8,46,17,0,1
569,8,46,17,0,1
579,8,46,17,0,1
589,8,46,17,0,1
599,8,46,17,0,1
609,8,46,17,0,1
619,8,46,17,0,1
629,8,46,17,0,1
639,8,46,17,0,1
649,8,46,17,0,1
659,8,46,17,0,1
669,8,46,17,0,1
679,8,46,17,0,1
689,8,46,17,0,1
699,8,46,17,0,1
709,8,46,17,0,1
719,8,46,17,0,1
729,8,46,17,0,1
739,8,46,17,0,1
749,8,46,17,0,1
759,8,46,17,0,1
769,8,46,17,0,1
779,8,46,17,0,1
789,8,46,17,0,1
799,8,46,17,0,1
809,8,46,17,0,1
819,8,46,17,0,1
829,8,46,17,0,1
839,8,46,17,0,1
849,8,46,17,0,1
859,8,46,17,0,1
869,8,46,17,0,1
879,8,46,17,0,1
889,8,46,17,0,1
899,8,46,17,0,1
909,8,46,17,0,1
919,8,46,17,0,1
929,8,46,17,0,1
939,8,46,17,0,1
949,8,46,17,0,1
959,8,46,17,0,1
969,8,46,17,0,1
979,8,46,17,0,1
989,8,46,17,0,1
999,8,46,17,0,1
1009,8,46,17,0,1
1019,8,46,17,0,1
1029,8,46,17,0,1
1039,8,46,17,0,1
1049,8,46,17,0,1
1059,8,46,17,0,1
1069,8,46,17,0,1
1079,8,46,17,0,1
1089,8,46,17,0,1
1099,8,46,17,0,1
1109,8,46,17,0,1
1119,8,46,17,0,1
1129,8,46,17,0,1
1139,8,46,17,0,1
1149,8,46,17,0,1
1159,8,46,17,0,1
1169,8,46,17,0,1
1179,8,46,17,0,1
1189,8,46,17,0,1
1199,8,46,17,0,1
1209,8,46,17,0,1
1219,8,46,17,0,1
1229,8,46,17,0,1
1239,8,46,17,0,1
1249,8,46,17,0,1
1259,8,46,17,0,1
1269,8,46,17,0,1
1279,8,46,17,0,1
1289,8,46,17,0,1
1299,8,46,17,0,1
1309,8,46,17,0,1
1319,8,46,17,0,1
1329,8,46,17,0,1
1339,8,46,17,0,1
1349,8,46,17,0,1
1359,8,46,17,0,1
1369,8,46,17,0,1
1379,7,46,17,0,1
1389,7,46,17,0,1
1399,7,46,17,0,1
1409,8,46,17,0,1
1419,8,46,17,0,1
1429,7,46,17,0,1
1439,7,46,17,0,1
1449,7,46,17,0,1
1459,7,46,17,0,1
1469,7,46,17,0,1
1479,7,46,17,0,1
1489,7,46,17,0,1
1499,7,46,17,0,1
1509,7,46,17,0,1
1519,7,46,17,0,1
1529,8,46,17,0,1
1539,7,46,17,0,1
1549,7,46,17,0,1
1559,7,46,17,0,1
1569,7,46,17,0,1
1579,7,46,17,0,1
1589,7,46,17,0,1
1599,7,46,17,0,1
1609,7,46,17,0,1
1619,7,46,17,0,1
1629,7,46,17,0,1
1639,7,46,17,0,1
1649,7,46,17,0,1
1659,7,46,17,0,1
1669,7,46,17,0,1
1679,7,46,17,0,1
1689,7,46,17,0,1
1699,7,46,17,0,1
1709,7,46,17,0,1
1719,7,46,17,0,1
1729,7,46,17,0,1
1739,7,46,17,0,1
1749,7,46,17,0,1
1759,7,46,17,0,1
1769,7,46,17,0,1
1779,7,46,17,0,1
1789,8,46,17,0,1
1799,7,46,17,0,1
1809,7,46,17,0,1
1819,7,46,17,0,1
1829,7,46,17,0,1
1839,7,46,17,0,1
1849,7,46,17,0,1
1859,7,46,17,0,1
1869,7,46,17,0,1
1879,7,46,17,0,1
1889,7,46,17,0,1
1899,7,46,17,0,1
1909,7,46,17,0,1
1919,7,46,17,0,1
1929,7,46,17,0,1
1939,7,46,17,0,1
1949,7,46,17,0,1
1959,7,46,17,0,1
1969,7,46,17,0,1
1979,7,46,17,0,1
1989,7,46,17,0,1
1999,7,46,17,0,1
2009,7,46,17,0,1
2019,7,46,17,0,1
2029,7,46,17,0,1
2039,7,46,17,0,1
2049,7,46,17,0,1
2059,7,46,17,0,1
2069,7,46,17,0,1
2079,7,46,17,0,1
2089,7,46,17,0,1
2099,7,46,17,0,1
2109,7,46,17,0,1
2119,7,46,17,0,1
2129,7,46,17,0,1
2139,7,46,17,0,1
2149,7,46,17,0,1
